date_revenue;merchandise;wire;delivery
01/01/2019;54.95;0;14.99
01/01/2019;4075.9;0;347.33
01/01/2019;3002.95;0;209.86
01/01/2019;1134.92;0;74.95
01/01/2019;763.1;0;74.95
01/01/2019;359.9;0;44.97
01/01/2019;1788.27;0;246.54
01/01/2019;2869.72;0;284.83
01/01/2019;1865.72;0;212.37
01/01/2019;1589.75;0;244.81
01/01/2019;1473.9;0;194.87
01/01/2019;864.8;0;89.94
01/01/2019;235;0;14.99
01/01/2019;1567.51;0;200.54
01/01/2019;1669.87;0;194.88
01/01/2019;1587.36;0;178.7
01/01/2019;1643.88;0;214.82
01/01/2019;2711.2;0;349.77
01/01/2019;1605.83;0;96.9
01/01/2019;409.9;0;59.92
01/01/2019;715.19;0;85.64
01/01/2019;1034.94;0;129.92
01/01/2019;1454.92;0;192.39
01/01/2019;6161.09;0;249.82
01/01/2019;3492.03;0;349.71
01/01/2019;807;0;29.98
01/01/2019;214.95;0;29.98
01/01/2019;1683.01;0;245.5
01/01/2019;1675.1;0;194.83
01/01/2019;1522.87;0;182.39
01/01/2019;1810.29;0;209.83
01/01/2019;3535.9;0;349.83
01/01/2019;471.59;0;74.91
01/01/2019;169.95;0;29.98
01/01/2019;3167.38;0;245.53
01/01/2019;3118.3;0;444.74
01/01/2019;3692.61;0;332.3
01/01/2019;3246.43;0;359.72
01/01/2019;3061.53;0;334.79
01/01/2019;1342.59;0;134.92
01/01/2019;2484.54;0;319.78
01/01/2019;9115.3;0;988.82
01/01/2019;9814.35;0;1068.21
01/01/2019;18803.1;0;1764.15
01/01/2019;13846.6;0;749.5
01/01/2019;3528;0;404.61
01/01/2019;719.84;0;79.95
01/01/2019;1691.96;0;222.53
01/01/2019;5837.25;0;229.92
01/01/2019;875.82;0;102.44
01/01/2019;3042.85;0;294.82
01/01/2019;3064.81;0;294.81
01/01/2019;656.89;0;44.97
01/01/2019;79.95;0;29.94
01/01/2019;1789.43;0;195.57
01/01/2019;4046;0;372.8
01/01/2019;3111.35;0;418.16
01/01/2019;5997.44;0;154.9
01/01/2019;2274;0;223.86
01/01/2019;610.37;0;49.97
01/01/2019;214.85;0;59.92
01/01/2019;1503.74;0;215.56
01/01/2019;3580.5;0;264.71
01/01/2019;1224.62;0;192.34
01/01/2019;4953.76;0;299.76
01/01/2019;3305.01;0;224.81
01/01/2019;424.95;0;74.95
01/01/2019;804.99;0;115.62
01/01/2019;1787.64;0;254.76
01/01/2019;2070.79;0;247.35
01/01/2019;1020.92;0;78.97
01/01/2019;1896.87;0;187.88
01/01/2019;834.45;0;59.92
01/01/2019;1274.8;0;200.53
01/01/2019;1962.95;0;174.89
01/01/2019;1564.54;0;202.34
01/01/2019;1675.69;0;212.78
01/01/2019;1817.04;0;164.9
01/01/2019;753.9;0;49.97
01/01/2019;55;0;14.99
01/01/2019;1607.9;0;220.51
01/01/2019;1312.89;0;184.88
01/01/2019;1520.76;0;214.39
01/01/2019;2447.59;0;250.75
01/01/2019;2746.69;0;249.77
01/01/2019;275;0;29.98
01/01/2019;99.95;0;14.99
01/01/2019;2525.61;0;272.55
01/01/2019;1253.79;0;119.92
01/01/2019;2202.82;0;222.36
01/01/2019;1224.95;0;134.91
01/01/2019;2475.8;0;280.78
01/01/2019;340;0;44.97
01/01/2019;354.9;0;44.93
01/01/2019;2082.37;0;240.54
01/01/2019;2199.95;0;234.87
01/01/2019;2169.76;0;237.35
01/01/2019;1612.95;0;159.9
01/01/2019;2246.9;0;254.84
01/01/2019;314.95;0;14.99
01/01/2019;3563.85;0;270.52
01/01/2019;16925.98;0;459.87
01/01/2019;1875.86;0;207.37
01/01/2019;4304.48;0;284.81
01/01/2019;3549.52;0;299.82
01/01/2019;1674.65;0;134.93
01/01/2019;2596.06;0;250.53
01/01/2019;3747.18;0;214.87
01/01/2019;2246.42;0;262.35
01/01/2019;2505.6;0;264.87
01/01/2019;1634.08;0;179.9
01/01/2019;805.95;0;74.97
01/01/2019;141.93;0;29.98
01/01/2019;2851.37;0;342.88
01/01/2019;2533.9;0;259.84
01/01/2019;3185.52;0;387.25
01/01/2019;2504.57;0;271.82
01/01/2019;1454.37;0;174.89
01/01/2019;2239.59;0;188.89
01/01/2019;311.78;0;59.96
01/01/2019;6826.61;0;754.26
01/01/2019;4931.5;0;566.64
01/01/2019;9405.96;0;928.93
01/01/2019;7754.85;0;909.44
01/01/2019;12795.14;0;1410.12
01/01/2019;10481.77;0;1004.33
01/01/2019;5195.87;0;314.79
01/01/2019;1692.91;0;190.62
01/01/2019;1744.89;0;164.89
01/01/2019;1352.91;0;102.44
01/01/2019;1980.74;0;165.9
01/01/2019;2535.65;0;253.84
01/01/2019;634.94;0;44.97
01/01/2019;429.95;0;14.99
01/01/2019;1834.81;0;160.59
01/01/2019;2451.65;0;208.87
01/01/2019;2122.72;0;215.37
01/01/2019;1420.74;0;89.94
01/01/2019;1954.94;0;119.92
01/01/2019;1242.95;0;29.98
01/01/2019;75;0;14.99
01/01/2019;90.97;0;25.68
01/01/2019;1180.88;0;179.88
01/01/2019;1640.76;0;177.39
01/01/2019;1049.3;0;73.96
01/01/2019;2252.68;0;224.85
01/01/2019;55.94;0;14.99
01/01/2019;55.94;0;14.99
01/01/2019;1559.15;0;180.58
01/01/2019;1321.93;0;154.9
01/01/2019;2402.46;0;224.37
01/01/2019;2557.76;0;249.84
01/01/2019;1789.8;0;159.9
01/01/2019;934.95;0;59.96
01/01/2019;935.94;0;100.63
01/01/2019;1210.81;0;134.91
01/01/2019;1489.82;0;162.4
01/01/2019;619.93;0;71.96
01/01/2019;1809.38;0;269.84
01/01/2019;481.89;0;74.95
01/01/2019;1439.84;0;180.58
01/01/2019;1035.94;0;134.91
01/01/2019;1424.86;0;97.45
01/01/2019;1497.71;0;159.9
01/01/2019;1527.85;0;169.9
01/01/2019;755;0;29.98
01/01/2019;249.9;0;44.97
01/01/2019;1368.37;0;195.59
01/01/2019;1107.66;0;119.92
01/01/2019;1465.81;0;117.46
01/01/2019;1313.21;0;134.91
01/01/2019;3823.32;0;244.87
01/01/2019;684.79;0;74.95
01/01/2019;89.95;0;14.99
01/01/2019;748.47;0;135.62
01/01/2019;1144.95;0;164.89
01/01/2019;1690.76;0;202.38
01/01/2019;129.99;0;14.99
01/01/2019;1236.82;0;106.94
01/01/2019;683.9;0;69.96
01/01/2019;2720.47;0;260.53
01/01/2019;883.6;0;94.94
01/01/2019;1430.76;0;207.37
01/01/2019;1928.58;0;169.91
01/01/2019;756.4;0;109.93
01/01/2019;551.94;0;0
01/01/2019;1591.93;0;200.58
01/01/2019;595.83;0;79.95
01/01/2019;339.92;0;57.47
01/01/2019;905.77;0;107.16
01/01/2019;1957.51;0;174.89
01/01/2019;1283.75;0;114.93
01/01/2019;109.9;0;29.98
01/01/2019;2314.92;0;225.56
01/01/2019;1960.83;0;211.86
01/01/2019;2281.91;0;167.4
01/01/2019;957.66;0;118.93
01/01/2019;776.89;0;59.96
01/01/2019;649.95;0;44.97
01/01/2019;1189.8;0;150.6
01/01/2019;1253.94;0;159.9
01/01/2019;1184.72;0;195.39
01/01/2019;1561.88;0;171.89
01/01/2019;1774.36;0;216.88
01/01/2019;915;0;29.98
01/01/2019;50.94;0;33.99
01/01/2019;1179.28;0;139.61
01/01/2019;7150.78;0;188.92
01/01/2019;3654.76;0;121.43
01/01/2019;3815.69;0;179.89
01/01/2019;1804.88;0;113.94
01/01/2019;663.9;0;95.95
01/01/2019;786.82;0;175.6
01/01/2019;3784.75;0;180.9
01/01/2019;2127.64;0;283.33
01/01/2019;2145.69;0;176.89
01/01/2019;1694.74;0;189.88
01/01/2019;944.95;0;72.96
01/01/2019;49.95;0;14.99
01/01/2019;3113.69;0;369.48
01/01/2019;1730.79;0;218.86
01/01/2019;1235.81;0;171.4
01/01/2019;1047.41;0;121.93
01/01/2019;1981.58;0;207.86
01/01/2019;347.92;0;31.98
01/01/2019;900.79;0;137.92
01/01/2019;1963.77;0;183.91
01/01/2019;719.92;0;96.45
01/01/2019;1621.9;0;135.93
01/01/2019;854.8;0;127.92
01/01/2019;449.88;0;46.97
01/01/2019;20;0;10.69
01/01/2019;220.09;0;31.98
01/01/2019;1468.1;0;232.37
01/01/2019;2176.77;0;243.85
01/01/2019;2214.9;0;111.93
01/01/2019;541.7;0;79.95
01/01/2019;3572.66;0;217.56
01/01/2019;1459.22;0;174.89
01/01/2019;996.03;0;133.44
01/01/2019;839.9;0;47.97
01/01/2019;2474.9;0;174.89
01/01/2019;444.94;0;45.98
01/01/2019;200.01;0;14.99
01/01/2019;1540.79;0;176.59
01/01/2019;1434.1;0;155.91
01/01/2019;1274.89;0;123.43
01/01/2019;2321.61;0;190.88
01/01/2019;2918.93;0;241.85
01/01/2019;473.5;0;31.98
01/01/2019;2564.76;0;154.6
01/01/2019;2588.82;0;250.85
01/01/2019;1442.9;0;240.39
01/01/2019;2327.23;0;232.86
01/01/2019;3944.1;0;404.79
01/01/2019;2720.12;0;125.92
01/01/2019;780.78;0;79.95
01/01/2019;919.79;0;122.62
01/01/2019;1219.01;0;163.91
01/01/2019;2601.58;0;262.38
01/01/2019;2679.84;0;208.77
01/01/2019;1875.78;0;179.89
01/01/2019;1367.84;0;107.95
01/01/2019;1054.91;0;186.58
01/01/2019;1784.72;0;180.9
01/01/2019;1890.75;0;184.39
01/01/2019;2453.65;0;263.84
01/01/2019;2164.71;0;249.85
01/01/2019;372.66;0;47.97
01/01/2019;100;0;15.99
01/01/2019;899.9;0;106.63
01/01/2019;1540.06;0;231.87
01/01/2019;2003.78;0;165.41
01/01/2019;1724.85;0;127.92
01/01/2019;1256.81;0;169.9
01/01/2019;621.5;0;31.98
01/01/2019;110;0;14.99
01/01/2019;1765.94;0;181.73
01/01/2019;1101.78;0;157.91
01/01/2019;1658.63;0;164.41
01/01/2019;1752.47;0;141.91
01/01/2019;984.89;0;95.94
01/01/2019;290;0;31.98
01/01/2019;1660.83;0;148.61
01/01/2019;3020.51;0;220.87
01/01/2019;2723.82;0;211.41
01/01/2019;2142.78;0;191.9
01/01/2019;1378.54;0;189.88
01/01/2019;545;0;47.97
01/01/2019;299.95;0;15.99
01/01/2019;1707.17;0;186.58
01/01/2019;1727.74;0;125.93
01/01/2019;1323.67;0;216.38
01/01/2019;1707.83;0;203.9
01/01/2019;3416.63;0;267.85
01/01/2019;1699.95;0;63.96
01/01/2019;210.89;0;15.99
01/01/2019;2334.84;0;202.57
01/01/2019;3651.05;0;189.89
01/01/2019;1930.82;0;174.42
01/01/2019;1716.73;0;222.86
01/01/2019;1487.61;0;127.92
01/01/2019;284.95;0;0
01/01/2019;8078.67;0;1142.29
01/01/2019;2272.57;0;260.86
01/01/2019;2199.77;0;257.35
01/01/2019;2160.35;0;299.82
01/01/2019;2189.85;0;214.86
01/01/2019;525.93;0;105.94
01/01/2019;75;0;14.99
01/01/2019;2457.07;0;246.56
01/01/2019;2149.7;0;159.9
01/01/2019;2636.64;0;219.39
01/01/2019;1291.87;0;79.95
01/01/2019;421.88;0;67.96
01/01/2019;134.95;0;24.99
01/01/2019;2650.77;0;267.54
01/01/2019;3915.71;0;439.73
01/01/2019;4924.8;0;238.36
01/01/2019;1565.2;0;177.9
01/01/2019;6579.69;0;328.85
01/01/2019;234.95;0;31.98
01/01/2019;49.95;0;15.99
01/01/2019;2794.85;0;210.59
01/01/2019;2097.83;0;194.92
01/01/2019;2936.87;0;216.37
01/01/2019;1984.9;0;344.79
01/01/2019;2906.9;0;237.85
01/01/2019;734.9;0;94.94
01/01/2019;401.66;0;79.95
01/01/2019;2924.94;0;274.53
01/01/2019;1676.76;0;176.88
01/01/2019;2975.43;0;398.27
01/01/2019;2338.3;0;273.58
01/01/2019;2112.41;0;267.84
01/01/2019;2027.58;0;263.84
01/01/2019;134.94;0;15.99
01/01/2019;3847.29;0;438.47
01/01/2019;1340.03;0;158.9
01/01/2019;184.97;0;27.49
01/01/2019;1228.8;0;134.93
01/01/2019;1769.85;0;192.88
01/01/2019;883.94;0;93.95
01/01/2019;1464.8;0;148.61
01/01/2019;1329.02;0;95.93